School,System,2022 NAPLAN Average,Yr 5 Reading,Yr 5 Writing,Yr 5 Spelling,Yr 5 Grammar,Yr 5 Numeracy,ICSEA Percentile,Suburb
Sydney Grammar School,Independent,611,620,576,605,627,625,99,Darlinghurst
Woollahra Public School,Government,597,594,580,601,613,598,98,Woollahra
Beecroft Public School,Government,593,594,566,596,611,600,99,Beecroft
Abbotsleigh,Independent,590,597,584,598,593,579,99,Wahroonga
Matthew Pearce Public School,Government,589,585,562,597,605,598,99,Baulkham Hills
Artarmon Public School,Government,587,582,561,591,607,593,98,Artarmon
St Ives North Public School,Government,583,576,565,588,604,583,99,St Ives
John Colet School,Independent,582,587,556,577,614,576,99,Belrose
Hornsby North Public School,Government,578,574,562,590,586,576,96,Hornsby
North Rocks Public School,Government,576,581,547,577,596,580,93,North Rocks
Northcross Christian School,Independent,576,574,549,589,593,574,99,Ryde
Carlingford West Public School,Government,575,568,557,579,590,580,92,Carlingford
St Aloysius' College,Independent,574,587,550,582,572,581,99,Kirribilli
Dural Public School,Government,574,577,557,571,592,575,87,Dural
Waitara Public School,Government,574,574,551,581,584,578,96,Wahroonga
Excelsior Public School,Government,573,573,564,571,582,573,94,Castle Hill
Redeemer Baptist School,Independent,572,555,536,584,616,571,92,North Parramatta
Knox Grammar School,Independent,571,581,549,574,573,579,98,Wahroonga
Meriden School,Independent,571,567,568,581,577,563,98,Strathfield
Summer Hill Public School,Government,570,574,542,576,586,571,96,Summer Hill
Hurstville Public School,Government,569,561,545,582,576,582,86,Hurstville
Sacred Heart Catholic Primary School,Catholic,569,588,577,556,579,546,99,Pymble
Arden Anglican School,Independent,569,577,557,574,578,557,98,Beecroft
Ascham School,Independent,568,581,563,558,591,549,99,Edgecliff
Roseville College,Independent,568,578,556,568,585,552,99,Roseville
Our Lady Help of Christians Catholic Primary School,Catholic,567,572,570,569,576,550,98,Epping
Pymble Ladies' College,Independent,567,575,552,575,579,554,99,Pymble
Oakhill Drive Public School,Government,566,571,549,561,579,569,95,Castle Hill
Reddam House,Independent,565,561,555,561,597,553,99,Woollahra
Al-Faisal College - Campbelltown,Independent,565,537,547,595,609,537,69,Minto
Epping Public School,Government,565,562,543,580,568,570,97,Epping
Sutherland Public School,Government,564,562,539,563,581,577,85,Sutherland
Epping West Public School,Government,564,554,548,573,573,573,95,Epping
Balmain Public School,Government,564,589,534,559,575,562,98,Balmain
St Aloysius Catholic Primary School,Catholic,563,572,546,561,583,554,87,Cronulla
Sacred Heart Catholic Primary School,Catholic,563,574,557,576,569,538,98,Mosman
Neutral Bay Public School,Government,563,577,543,558,578,557,98,Neutral Bay
Kambala,Independent,562,567,555,553,576,560,98,Rose Bay
St George Christian School,Independent,562,558,556,566,581,547,96,Hurstville
Gib Gate School,Independent,561,574,556,568,589,520,97,Mittagong
Lycee Condorcet The International French School Of Sydney,Independent,561,571,541,565,601,528,97,Maroubra Junction
St Hurmizd Assyrian Primary School,Independent,561,525,604,606,551,520,17,Greenfield Park
Eastwood Heights Public School,Government,561,556,535,574,574,564,92,Eastwood
Sydney Distance Education Primary School,Government,561,576,519,561,583,564,90,Surry Hills
Eastwood Public School,Government,560,556,538,566,565,577,90,Eastwood
Holy Family Catholic Primary School,Catholic,560,561,546,563,586,545,99,Lindfield
Tangara School for Girls,Independent,559,559,540,563,591,544,87,Cherrybrook
Cherrybrook Public School,Government,558,559,537,564,566,564,96,Cherrybrook
SHORE - Sydney Church of England Grammar School,Independent,558,570,547,566,548,559,98,North Sydney
Cranbrook School,Independent,558,574,551,554,551,559,99,Bellevue Hill
Murray Farm Public School,Government,557,548,539,572,565,563,96,Carlingford
Lindfield East Public School,Government,557,569,525,566,564,563,98,East Lindfield
Central Coast Grammar School,Independent,557,574,551,554,556,551,96,Erina Heights
Killara Public School,Government,557,560,534,564,559,567,96,Killara
Ironbark Ridge Public School,Government,556,567,534,559,567,555,92,Rouse Hill
Italian Bilingual School,Independent,556,565,547,572,567,531,91,Meadowbank
Al Noori Muslim School,Independent,556,545,542,566,593,532,83,Greenacre
Ravenswood School for Girls,Independent,555,566,556,556,551,547,98,Gordon
John Purchase Public School,Government,555,554,537,567,556,561,96,Cherrybrook
Wollongong Public School,Government,555,562,541,563,553,556,84,Wollongong
Montessori East,Independent,555,565,529,554,585,540,99,Bondi
Roseville Public School,Government,554,561,530,549,567,565,99,Roseville
St Raphael's Catholic Primary School,Catholic,554,565,551,549,556,551,92,South Hurstville
Epping Heights Public School,Government,554,556,547,572,547,549,96,Epping
