School,State Overall Score,Better Education Percentile,English,Maths,Total Enrolments,Trend / Compare,Locality,Sector,SES
"James Ruse Agricultural High School,Carlingford,NSW,2118",100,1%,5,5,850,Trend / Compare,"Carlingford,NSW,2118",Government,98
"Baulkham Hills High School,Baulkham Hills,NSW,2153",100,1%,5,5,1240,Trend / Compare,"Baulkham Hills,NSW,2153",Government,97
"North Sydney Boys High School,Crows Nest,NSW,2065",100,1%,5,5,940,Trend / Compare,"Crows Nest,NSW,2065",Government,97
"Sydney Girls High School,Surry Hills,NSW,2010",100,1%,5,5,930,Trend / Compare,"Surry Hills,NSW,2010",Government,97
"North Sydney Girls High School,Crows Nest,NSW,2065",100,1%,5,5,910,Trend / Compare,"Crows Nest,NSW,2065",Government,97
"Hornsby Girls High School,Hornsby,NSW,2077",100,1%,5,5,710,Trend / Compare,"Hornsby,NSW,2077",Government,97
"Sydney Boys High School,Surry Hills,NSW,2010",100,1%,5,5,1210,Trend / Compare,"Surry Hills,NSW,2010",Government,97
"Sydney Grammar School,Darlinghurst,NSW,2010",100,1%,5,5,1900,Trend / Compare,"Darlinghurst,NSW,2010",Non-government,99
"Normanhurst Boys High School,Normanhurst,NSW,2076",100,1%,5,5,770,Trend / Compare,"Normanhurst,NSW,2076",Government,97
"Fort Street High School,Petersham,NSW,2049",100,2%,5,5,910,Trend / Compare,"Petersham,NSW,2049",Government,96
"Girraween High School,Girraween,NSW,2145",100,2%,5,5,780,Trend / Compare,"Girraween,NSW,2145",Government,97
"Conservatorium High School,Sydney,NSW,2000",99,2%,5,5,160,Trend / Compare,"Sydney,NSW,2000",Government,97
"Northern Beaches Secondary College Manly Campus,North Curl Curl,NSW,2099",99,2%,5,5,780,Trend / Compare,"North Curl Curl,NSW,2099",Government,98
"Penrith High School,Penrith,NSW,2750",99,2%,5,5,940,Trend / Compare,"Penrith,NSW,2750",Government,96
"Hurlstone Agricultural High School,Glenfield,NSW,2167",99,2%,5,5,1000,Trend / Compare,"Glenfield,NSW,2167",Government,95
"St George Girls High School,Kogarah,NSW,2217",99,2%,5,5,920,Trend / Compare,"Kogarah,NSW,2217",Government,96
