School,State Overall Score,Better Education Percentile,English,Maths,Total Enrolments,Trend / Compare,Locality,Sector,SES
"Sydney Grammar School,Darlinghurst,NSW,2010",100,1%,5,5,1900,Trend / Compare,"Darlinghurst,NSW,2010",Non-government,99
"Matthew Pearce Public School,Baulkham Hills,NSW,2153",100,1%,5,5,1370,Trend / Compare,"Baulkham Hills,NSW,2153",Government,96
"Northcross Christian School,Ryde,NSW,2112",100,1%,5,5,380,Trend / Compare,"Ryde,NSW,2112",Non-government,97
"Abbotsleigh,Wahroonga,NSW,2076",100,1%,5,5,1550,Trend / Compare,"Wahroonga,NSW,2076",Non-government,97
"St Ives North Public School,St Ives,NSW,2075",100,1%,5,5,880,Trend / Compare,"St Ives,NSW,2075",Government,96
"St Aloysius' College,Milsons Point,NSW,2061",100,1%,5,5,1300,Trend / Compare,"Milsons Point,NSW,2061",Non-government,98
"Beecroft Public School,Beecroft,NSW,2119",100,1%,5,5,880,Trend / Compare,"Beecroft,NSW,2119",Government,97
"Hornsby North Public School,Hornsby,NSW,2077",100,1%,5,5,1000,Trend / Compare,"Hornsby,NSW,2077",Government,96
"Knox Grammar School,Wahroonga,NSW,2076",100,1%,5,5,3220,Trend / Compare,"Wahroonga,NSW,2076",Non-government,97
"Woollahra Public School,Woollahra,NSW,2025",100,1%,5,5,690,Trend / Compare,"Woollahra,NSW,2025",Government,97
"John Colet School,Belrose,NSW,2085",100,1%,5,5,270,Trend / Compare,"Belrose,NSW,2085",Non-government,97
"Pymble Ladies' College,Pymble,NSW,2073",100,1%,5,5,2330,Trend / Compare,"Pymble,NSW,2073",Non-government,97
"Redeemer Baptist School,North Parramatta,NSW,2151",100,1%,5,5,490,Trend / Compare,"North Parramatta,NSW,2151",Non-government,95
"Artarmon Public School,Artarmon,NSW,2064",100,1%,5,5,1240,Trend / Compare,"Artarmon,NSW,2064",Government,96
"Oakhill Drive Public School,Castle Hill,NSW,2154",100,1%,5,5,780,Trend / Compare,"Castle Hill,NSW,2154",Government,96
"Arden Anglican School,Beecroft,NSW,2119",100,1%,5,5,950,Trend / Compare,"Beecroft,NSW,2119",Non-government,96
"Al-Faisal College,Minto,NSW,2566",100,1%,5,5,690,Trend / Compare,"Minto,NSW,2566",Non-government,95
"Meriden School,Strathfield,NSW,2135",100,1%,5,5,1580,Trend / Compare,"Strathfield,NSW,2135",Non-government,96
"Carlingford West Public School,Carlingford,NSW,2118",100,1%,5,5,1880,Trend / Compare,"Carlingford,NSW,2118",Government,95
"Murray Farm Public School,Carlingford,NSW,2118",100,1%,5,5,940,Trend / Compare,"Carlingford,NSW,2118",Government,96
"Epping West Public School,Epping,NSW,2121",100,1%,5,5,1260,Trend / Compare,"Epping,NSW,2121",Government,96
"Ascham School,Edgecliff,NSW,2027",100,1%,5,5,1170,Trend / Compare,"Edgecliff,NSW,2027",Non-government,97
"St Raphael's Catholic Primary School,South Hurstville,NSW,2221",100,2%,5,5,230,Trend / Compare,"South Hurstville,NSW,2221",Non-government,95
"Lindfield East Public School,East Lindfield,NSW,2070",100,2%,5,5,590,Trend / Compare,"East Lindfield,NSW,2070",Government,96
"Cherrybrook Public School,Cherrybrook,NSW,2126",100,2%,5,5,990,Trend / Compare,"Cherrybrook,NSW,2126",Government,96
"Kambala,Rose Bay,NSW,2029",100,2%,5,5,970,Trend / Compare,"Rose Bay,NSW,2029",Non-government,96
"Roseville Public School,Roseville,NSW,2069",100,2%,5,5,600,Trend / Compare,"Roseville,NSW,2069",Government,97
"Epping Public School,Epping,NSW,2121",100,2%,5,5,860,Trend / Compare,"Epping,NSW,2121",Government,96
"Excelsior Public School,Castle Hill,NSW,2154",99,2%,5,5,610,Trend / Compare,"Castle Hill,NSW,2154",Government,95
"McAuley Catholic Primary School,Rose Bay,NSW,2029",99,2%,5,5,190,Trend / Compare,"Rose Bay,NSW,2029",Non-government,96
"Hurstville Public School,Hurstville,NSW,2220",99,2%,5,5,1150,Trend / Compare,"Hurstville,NSW,2220",Government,94
"North Rocks Public School,North Rocks,NSW,2151",99,2%,5,5,880,Trend / Compare,"North Rocks,NSW,2151",Government,95
"Claremont College,Randwick,NSW,2031",99,2%,5,5,350,Trend / Compare,"Randwick,NSW,2031",Non-government,96
"Reddam House,Woollahra,NSW,2025",99,2%,5,5,,Trend / Compare,"Woollahra,NSW,2025",Non-government,97
"Beaumont Road Public School,Killara,NSW,2071",99,2%,5,5,350,Trend / Compare,"Killara,NSW,2071",Government,96
"Marist Catholic College North Shore,North Sydney,NSW,2060",99,2%,5,5,1370,Trend / Compare,"North Sydney,NSW,2060",Non-government,96
"Ermington Public School,West Ryde,NSW,2114",99,2%,5,5,450,Trend / Compare,"West Ryde,NSW,2114",Government,95
"SHORE - Sydney Church of England Grammar School,North Sydney,NSW,2060",99,2%,5,5,1660,Trend / Compare,"North Sydney,NSW,2060",Non-government,96
"Waitara Public School,Wahroonga,NSW,2076",99,2%,5,5,1040,Trend / Compare,"Wahroonga,NSW,2076",Government,96
"Ravenswood School for Girls,Gordon,NSW,2072",99,2%,5,5,1340,Trend / Compare,"Gordon,NSW,2072",Non-government,97
"Chatswood Public School,Chatswood,NSW,2067",99,2%,5,5,1150,Trend / Compare,"Chatswood,NSW,2067",Government,96
"John Purchase Public School,Cherrybrook,NSW,2126",99,2%,5,5,640,Trend / Compare,"Cherrybrook,NSW,2126",Government,96
"Roseville College,Roseville,NSW,2069",99,2%,5,5,990,Trend / Compare,"Roseville,NSW,2069",Non-government,97
"Epping North Public School,North Epping,NSW,2121",99,2%,5,5,460,Trend / Compare,"North Epping,NSW,2121",Government,96
"St Agnes' School,Matraville,NSW,2036",99,2%,5,5,150,Trend / Compare,"Matraville,NSW,2036",Non-government,87
"Cranbrook School,Bellevue Hill,NSW,2023",99,3%,5,5,1640,Trend / Compare,"Bellevue Hill,NSW,2023",Non-government,96
